ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,COMUNA_NOMBRE,COMUNA_POB,DIA_SEMANA_NUM,DIA_SEMANA_STR
2016-0029,1,2016-03-04,2016,3,4,17.0,AVENIDA,CABILDO AV.,CABILDO AV. y DEHEZA,12.0,-58.47378664,-34.54153077,PEATON,PASAJEROS,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,4,Viernes
2016-0031,1,2016-03-08,2016,3,8,12.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8.0,-58.47064556,-34.69843756,MOTO,PASAJEROS,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,1,Martes
2016-0034,1,2016-03-12,2016,3,12,12.0,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4.0,-58.40623949,-34.65076549,PEATON,PASAJEROS,"Barracas, La Boca",230945.0,5,Sábado
2016-0035,1,2016-03-13,2016,3,13,6.0,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y CALLAO AV.,3.0,-58.39228965,-34.60443527,MOTO,PASAJEROS,"San Cristóbal, Balvanera",236294.0,6,Domingo
2016-0036,1,2016-03-14,2016,3,14,0.0,CALLE,HERRERA,"HERRERA y VALLE, ARISTOBULO DEL",4.0,-58.37813396,-34.63668504,MOTO,PASAJEROS,"Barracas, La Boca",230945.0,0,Lunes
2016-0037,1,2016-03-19,2016,3,19,11.0,AVENIDA,LAFUENTE AV.,LAFUENTE AV. y QUIRNO,7.0,-58.46275892,-34.64358293,MOTO,MOTO,"Flores, Parque Chacabuco",216832.0,5,Sábado
2016-0038,1,2016-03-21,2016,3,21,8.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ZUVIRIA",8.0,-58.49683458,-34.67892743,PEATON,PASAJEROS,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,0,Lunes
2016-0039,1,2016-03-23,2016,3,23,1.0,AVENIDA,"MITRE, BARTOLOME","MITRE, BARTOLOME y PUEYRREDON AV.",3.0,-58.40603217,-34.6088396,MOTO,PASAJEROS,"San Cristóbal, Balvanera",236294.0,2,Miércoles
2016-0041,2,2016-03-29,2016,3,29,11.0,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7.0,-58.4607655,-34.63350444,MOTO,CARGAS,"Flores, Parque Chacabuco",216832.0,1,Martes
2016-0043,1,2016-03-30,2016,3,30,18.0,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8.0,-58.47832463,-34.67494416,PEATON,CARGAS,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,2,Miércoles
