ID_HECHO,FECHA,AAAA,MM,DD,HH,DIA_SEMANA_NUM,DIA_SEMANA_STR,N_VICTIMAS,ACUSADO,VICTIMA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,COMUNA,COMUNA_NOMBRE,COMUNA_POB,TIPO_DE_CALLE,CALLE,DIRE_NOR,POSX,POSY
2016-0025,2016-02-28,2016,2,28,4.0,6,Domingo,1,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,2016-02-28,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y 27 DE FEBRERO AV.",-58.46244952,-34.70524971
2016-0026,2016-02-28,2016,2,28,7.0,6,Domingo,1,OBJETO FIJO,AUTO,CONDUCTOR,MASCULINO,30.0,2016-03-04,12.0,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,CALLE,HOLMBERG,HOLMBERG y VEDIA,-58.49216191,-34.54738649
2016-0027,2016-02-28,2016,2,28,9.0,6,Domingo,1,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,,7.0,"Flores, Parque Chacabuco",216832.0,AVENIDA,CURAPALIGUE AV.,"CURAPALIGUE AV. y DIAZ, AVELINO",-58.44497874,-34.63852623
2016-0028,2016-03-02,2016,3,2,10.0,2,Miércoles,1,CARGAS,PEATON,PEATON,MASCULINO,50.0,2016-03-02,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AVENIDA,VIAMONTE,VIAMONTE y 9 DE JULIO AV.,-58.38199706,-34.60028648
2016-0029,2016-03-04,2016,3,4,17.0,4,Viernes,1,PASAJEROS,PEATON,PEATON,MASCULINO,38.0,2016-03-04,12.0,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,AVENIDA,CABILDO AV.,CABILDO AV. y DEHEZA,-58.47378664,-34.54153077
2016-0031,2016-03-08,2016,3,8,12.0,1,Martes,1,PASAJEROS,MOTO,CONDUCTOR,MASCULINO,21.0,,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",-58.47064556,-34.69843756
2016-0034,2016-03-12,2016,3,12,12.0,5,Sábado,1,PASAJEROS,PEATON,PEATON,MASCULINO,52.0,2016-03-12,4.0,"Barracas, La Boca",230945.0,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",-58.40623949,-34.65076549
2016-0035,2016-03-13,2016,3,13,6.0,6,Domingo,1,PASAJEROS,MOTO,CONDUCTOR,MASCULINO,34.0,2016-03-13,3.0,"San Cristóbal, Balvanera",236294.0,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y CALLAO AV.,-58.39228965,-34.60443527
2016-0036,2016-03-14,2016,3,14,0.0,0,Lunes,1,PASAJEROS,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,36.0,2016-03-14,4.0,"Barracas, La Boca",230945.0,CALLE,HERRERA,"HERRERA y VALLE, ARISTOBULO DEL",-58.37813396,-34.63668504
2016-0037,2016-03-19,2016,3,19,11.0,5,Sábado,1,MOTO,MOTO,CONDUCTOR,MASCULINO,20.0,2016-03-19,7.0,"Flores, Parque Chacabuco",216832.0,AVENIDA,LAFUENTE AV.,LAFUENTE AV. y QUIRNO,-58.46275892,-34.64358293
